Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 136 ${websiteName},2,138,108,169,169,169,108,169,"0,000%","3,17965","1,65","1,40"
http://20.50.171.10:9966/petclinic/api/owners 16 ${websiteName},3,7263,362,21322,21322,21322,105,21322,"0,000%",",13264","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 40 ${websiteName},3,7182,199,21228,21228,21228,121,21228,"0,000%",",13300","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 114 ${websiteName},2,190,122,258,258,258,122,258,"0,000%","2,82885","1,47","1,25"
http://20.50.171.10:9966/petclinic/api/owners 121 ${websiteName},2,175,113,238,238,238,113,238,"0,000%","2,89436","1,50","1,27"
http://20.50.171.10:9966/petclinic/api/owners 113 ${websiteName},2,189,122,257,257,257,122,257,"0,000%","2,82885","1,47","1,25"
http://20.50.171.10:9966/petclinic/api/owners 159 ${websiteName},2,118,112,124,124,124,112,124,"0,000%","2,58732","1,34","1,14"
http://20.50.171.10:9966/petclinic/api/owners 119 ${websiteName},2,183,118,249,249,249,118,249,"0,000%","2,85307","1,48","1,26"
http://20.50.171.10:9966/petclinic/api/owners 187 ${websiteName},2,9753,101,19406,19406,19406,101,19406,"0,000%",",09851","0,05","0,04"
http://20.50.171.10:9966/petclinic/api/owners 128 ${websiteName},2,166,104,229,229,229,104,229,"0,000%","2,99401","1,56","1,32"
http://20.50.171.10:9966/petclinic/api/owners 134 ${websiteName},2,146,111,182,182,182,111,182,"0,000%","3,01659","1,57","1,33"
http://20.50.171.10:9966/petclinic/api/owners 167 ${websiteName},2,104,101,108,108,108,101,108,"0,000%","2,58065","1,34","1,14"
http://20.50.171.10:9966/petclinic/api/owners 52 ${websiteName},3,6734,342,19760,19760,19760,101,19760,"0,000%",",14203","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 7 ${websiteName},3,3832,351,11037,11037,11037,110,11037,"0,000%",",24372","0,13","0,11"
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},3,6980,368,20461,20461,20461,112,20461,"0,000%",",13807","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 24 ${websiteName},3,6896,171,20415,20415,20415,103,20415,"0,000%",",13810","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 14 ${websiteName},3,4104,360,11856,11856,11856,97,11856,"0,000%",",22826","0,12","0,10"
http://20.50.171.10:9966/petclinic/api/owners 54 ${websiteName},3,6863,364,20127,20127,20127,100,20127,"0,000%",",13943","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 69 ${websiteName},3,6919,226,20417,20417,20417,114,20417,"0,000%",",13758","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 32 ${websiteName},3,7237,368,21242,21242,21242,101,21242,"0,000%",",13288","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 140 ${websiteName},2,185,173,198,198,198,173,198,"0,000%","2,53807","1,32","1,12"
http://20.50.171.10:9966/petclinic/api/owners 5 ${websiteName},3,6921,204,20456,20456,20456,103,20456,"0,000%",",13812","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 186 ${websiteName},2,7177,101,14254,14254,14254,101,14254,"0,000%",",13270","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 21 ${websiteName},3,6690,250,19698,19698,19698,122,19698,"0,000%",",14285","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 18 ${websiteName},3,7249,373,21277,21277,21277,97,21277,"0,000%",",13290","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 94 ${websiteName},3,6584,113,19543,19543,19543,96,19543,"0,000%",",14337","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 25 ${websiteName},3,4157,344,12029,12029,12029,100,12029,"0,000%",",22497","0,12","0,10"
http://20.50.171.10:9966/petclinic/api/owners 198 ${websiteName},2,10711,95,21327,21327,21327,95,21327,"0,000%",",09020","0,05","0,04"
http://20.50.171.10:9966/petclinic/api/owners 8 ${websiteName},3,4824,207,14158,14158,14158,108,14158,"0,000%",",19443","0,10","0,09"
http://20.50.171.10:9966/petclinic/api/owners 75 ${websiteName},3,7141,128,21186,21186,21186,109,21186,"0,000%",",13294","0,07","0,06"
http://20.50.171.10:9966/petclinic/api/owners 33 ${websiteName},3,5024,235,14737,14737,14737,102,14737,"0,000%",",18651","0,10","0,08"
http://20.50.171.10:9966/petclinic/api/owners 131 ${websiteName},2,153,100,206,206,206,100,206,"0,000%","3,10078","1,61","1,37"
http://20.50.171.10:9966/petclinic/api/owners 30 ${websiteName},3,7079,189,20954,20954,20954,95,20954,"0,000%",",13456","0,07","0,06"
