Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 2,1,970,970,970,970,970,970,970,"0,000%","1,03093","306,94","0,26"
Owner tab,50,3523,3681,4809,4829,5311,970,5311,"0,000%","8,36960","2491,88","2,11"
http://20.50.171.10:9966/petclinic/api/owners 11,1,1232,1232,1232,1232,1232,1232,1232,"0,000%",",81169","241,66","0,20"
http://20.50.171.10:9966/petclinic/api/owners 5,1,1566,1566,1566,1566,1566,1566,1566,"0,000%",",63857","190,12","0,16"
http://20.50.171.10:9966/petclinic/api/owners 7,1,1585,1585,1585,1585,1585,1585,1585,"0,000%",",63091","187,84","0,16"
http://20.50.171.10:9966/petclinic/api/owners 1,1,1923,1923,1923,1923,1923,1923,1923,"0,000%",",52002","154,83","0,13"
http://20.50.171.10:9966/petclinic/api/owners 8,1,1844,1844,1844,1844,1844,1844,1844,"0,000%",",54230","161,46","0,14"
http://20.50.171.10:9966/petclinic/api/owners/5 2,3,435,91,1168,1168,1168,48,1168,"0,000%","1,67598","0,74","0,43"
http://20.50.171.10:9966/petclinic/api/owners/5 11,3,358,89,939,939,939,48,939,"0,000%","2,30769","1,02","0,59"
http://20.50.171.10:9966/petclinic/api/owners/5 1,3,197,97,449,449,449,47,449,"0,000%","3,31126","1,46","0,84"
http://20.50.171.10:9966/petclinic/api/owners/5 5,3,287,88,727,727,727,47,727,"0,000%","2,65487","1,17","0,67"
http://20.50.171.10:9966/petclinic/api/owners/5 7,3,269,88,668,668,668,53,668,"0,000%","2,74223","1,21","0,70"
http://20.50.171.10:9966/petclinic/api/pettypes 11,1,125,125,125,125,125,125,125,"0,000%","8,00000","118,95","2,03"
http://20.50.171.10:9966/petclinic/api/pettypes 5,1,127,127,127,127,127,127,127,"0,000%","7,87402","117,08","2,00"
http://20.50.171.10:9966/petclinic/api/pettypes 2,1,346,346,346,346,346,346,346,"0,000%","2,89017","42,97","0,73"
http://20.50.171.10:9966/petclinic/api/pettypes 7,1,138,138,138,138,138,138,138,"0,000%","7,24638","107,75","1,84"
http://20.50.171.10:9966/petclinic/api/pettypes 1,1,173,173,173,173,173,173,173,"0,000%","5,78035","85,95","1,47"
Owner page,50,326,199,669,901,1562,153,1562,"0,000%","9,66370","152,22","7,36"
http://20.50.171.10:9966/petclinic/api/owners 20,1,2261,2261,2261,2261,2261,2261,2261,"0,000%",",44228","131,68","0,11"
http://20.50.171.10:9966/petclinic/api/pets 11,1,94,94,94,94,94,94,94,"100,000%","10,63830","6,61","464,45"
http://20.50.171.10:9966/petclinic/api/owners 29,1,2107,2107,2107,2107,2107,2107,2107,"0,000%",",47461","141,30","0,12"
http://20.50.171.10:9966/petclinic/api/pets 5,1,137,137,137,137,137,137,137,"100,000%","7,29927","4,53","318,67"
http://20.50.171.10:9966/petclinic/api/owners/5 20,3,61,47,90,90,90,46,90,"0,000%","7,89474","3,48","2,00"
http://20.50.171.10:9966/petclinic/api/pets 2,1,133,133,133,133,133,133,133,"100,000%","7,51880","4,67","328,26"
http://20.50.171.10:9966/petclinic/api/pets 7,1,143,143,143,143,143,143,143,"100,000%","6,99301","4,34","305,30"
http://20.50.171.10:9966/petclinic/api/owners/5 29,3,61,47,95,95,95,42,95,"0,000%","6,57895","2,90","1,67"
http://20.50.171.10:9966/petclinic/api/pets 1,1,136,136,136,136,136,136,136,"100,000%","7,35294","4,57","321,02"
Pet form,50,267,233,274,281,1446,183,1446,"100,000%","12,87996","13,68","565,59"
http://20.50.171.10:9966/petclinic/api/pettypes 20,1,88,88,88,88,88,88,88,"0,000%","11,36364","168,97","2,89"
http://20.50.171.10:9966/petclinic/api/owners/5 8,3,318,97,809,809,809,48,809,"0,000%","2,45499","1,08","0,62"
http://20.50.171.10:9966/petclinic/api/pettypes 29,1,133,133,133,133,133,133,133,"0,000%","7,51880","111,80","1,91"
http://20.50.171.10:9966/petclinic/api/pettypes 8,1,131,131,131,131,131,131,131,"0,000%","7,63359","113,50","1,94"
http://20.50.171.10:9966/petclinic/api/pets 20,1,106,106,106,106,106,106,106,"100,000%","9,43396","5,86","411,87"
http://20.50.171.10:9966/petclinic/api/owners 17,1,2619,2619,2619,2619,2619,2619,2619,"0,000%",",38183","113,68","0,10"
http://20.50.171.10:9966/petclinic/api/owners 14,1,2690,2690,2690,2690,2690,2690,2690,"0,000%",",37175","110,68","0,09"
http://20.50.171.10:9966/petclinic/api/owners/5 17,3,66,52,95,95,95,51,95,"0,000%","7,15990","3,16","1,82"
http://20.50.171.10:9966/petclinic/api/owners/5 14,3,64,51,95,95,95,47,95,"0,000%","7,38916","3,26","1,88"
http://20.50.171.10:9966/petclinic/api/pets 29,1,135,135,135,135,135,135,135,"100,000%","7,40741","4,60","323,39"
http://20.50.171.10:9966/petclinic/api/owners 4,1,2971,2971,2971,2971,2971,2971,2971,"0,000%",",33659","100,21","0,08"
http://20.50.171.10:9966/petclinic/api/owners/5 4,3,67,52,104,104,104,46,104,"0,000%","6,18557","2,73","1,57"
http://20.50.171.10:9966/petclinic/api/pettypes 17,1,98,98,98,98,98,98,98,"0,000%","10,20408","151,73","2,59"
http://20.50.171.10:9966/petclinic/api/pettypes 14,1,97,97,97,97,97,97,97,"0,000%","10,30928","153,29","2,62"
http://20.50.171.10:9966/petclinic/api/pets 8,1,133,133,133,133,133,133,133,"100,000%","7,51880","4,67","328,26"
http://20.50.171.10:9966/petclinic/api/owners 28,1,2588,2588,2588,2588,2588,2588,2588,"0,000%",",38640","115,04","0,10"
http://20.50.171.10:9966/petclinic/api/owners 32,1,2553,2553,2553,2553,2553,2553,2553,"0,000%",",39170","116,62","0,10"
http://20.50.171.10:9966/petclinic/api/owners/5 28,3,211,51,539,539,539,45,539,"0,000%","3,41686","1,51","0,87"
http://20.50.171.10:9966/petclinic/api/owners 23,1,2748,2748,2748,2748,2748,2748,2748,"0,000%",",36390","108,34","0,09"
http://20.50.171.10:9966/petclinic/api/owners 21,1,2802,2802,2802,2802,2802,2802,2802,"0,000%",",35689","106,26","0,09"
http://20.50.171.10:9966/petclinic/api/owners/5 32,3,60,45,92,92,92,43,92,"0,000%","7,22892","3,19","1,84"
http://20.50.171.10:9966/petclinic/api/pettypes 4,1,141,141,141,141,141,141,141,"0,000%","7,09220","105,45","1,80"
http://20.50.171.10:9966/petclinic/api/owners/5 23,3,61,47,91,91,91,45,91,"0,000%","7,21154","3,18","1,83"
http://20.50.171.10:9966/petclinic/api/owners/5 21,3,65,60,92,92,92,45,92,"0,000%","5,68182","2,51","1,44"
http://20.50.171.10:9966/petclinic/api/pets 14,1,113,113,113,113,113,113,113,"100,000%","8,84956","5,50","386,36"
http://20.50.171.10:9966/petclinic/api/pets 17,1,119,119,119,119,119,119,119,"100,000%","8,40336","5,22","366,88"
http://20.50.171.10:9966/petclinic/api/pettypes 28,1,84,84,84,84,84,84,84,"0,000%","11,90476","177,01","3,02"
http://20.50.171.10:9966/petclinic/api/owners 44,1,2437,2437,2437,2437,2437,2437,2437,"0,000%",",41034","122,17","0,10"
http://20.50.171.10:9966/petclinic/api/owners 26,1,2806,2806,2806,2806,2806,2806,2806,"0,000%",",35638","106,10","0,09"
http://20.50.171.10:9966/petclinic/api/pettypes 32,1,94,94,94,94,94,94,94,"0,000%","10,63830","158,18","2,70"
http://20.50.171.10:9966/petclinic/api/pettypes 23,1,85,85,85,85,85,85,85,"0,000%","11,76471","174,93","2,99"
http://20.50.171.10:9966/petclinic/api/owners 47,1,2422,2422,2422,2422,2422,2422,2422,"0,000%",",41288","122,93","0,10"
http://20.50.171.10:9966/petclinic/api/owners/5 26,3,60,48,90,90,90,44,90,"0,000%","8,04290","3,55","2,04"
http://20.50.171.10:9966/petclinic/api/owners/5 44,3,65,58,89,89,89,48,89,"0,000%","8,69565","3,84","2,21"
