Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 1 ${websiteName},1,145,145,145,145,145,145,145,"0,000%","6,89655","113,91","1,75"
Pet types tab,100,138,136,146,152,156,127,209,"0,000%","88,49558","1561,37","22,47"
http://20.50.171.10:9966/petclinic/api/pettypes 2 ${websiteName},1,156,156,156,156,156,156,156,"0,000%","6,41026","105,88","1,63"
http://20.50.171.10:9966/petclinic/api/pettypes 3 ${websiteName},1,152,152,152,152,152,152,152,"0,000%","6,57895","108,66","1,67"
http://20.50.171.10:9966/petclinic/api/pettypes 5 ${websiteName},1,153,153,153,153,153,153,153,"0,000%","6,53595","107,95","1,66"
http://20.50.171.10:9966/petclinic/api/pettypes 6 ${websiteName},1,143,143,143,143,143,143,143,"0,000%","6,99301","115,50","1,78"
http://20.50.171.10:9966/petclinic/api/pettypes 1 Pet clinic,1,59,59,59,59,59,59,59,"0,000%","16,94915","6,72","5,58"
New pet type form,100,45,45,50,52,56,40,59,"0,000%","97,08738","38,49","31,95"
http://20.50.171.10:9966/petclinic/api/pettypes 7 ${websiteName},1,151,151,151,151,151,151,151,"0,000%","6,62252","109,38","1,68"
http://20.50.171.10:9966/petclinic/api/pettypes 9 ${websiteName},1,134,134,134,134,134,134,134,"0,000%","7,46269","123,26","1,89"
http://20.50.171.10:9966/petclinic/api/pettypes 8 ${websiteName},1,144,144,144,144,144,144,144,"0,000%","6,94444","114,70","1,76"
http://20.50.171.10:9966/petclinic/api/pettypes 2 Pet clinic,1,44,44,44,44,44,44,44,"0,000%","22,72727","9,01","7,48"
http://20.50.171.10:9966/petclinic/api/pettypes 10 ${websiteName},1,131,131,131,131,131,131,131,"0,000%","7,63359","126,08","1,94"
http://20.50.171.10:9966/petclinic/api/pettypes 3 Pet clinic,1,43,43,43,43,43,43,43,"0,000%","23,25581","9,22","7,65"
http://20.50.171.10:9966/petclinic/api/pettypes 5 Pet clinic,1,46,46,46,46,46,46,46,"0,000%","21,73913","8,62","7,15"
http://20.50.171.10:9966/petclinic/api/pettypes 11 ${websiteName},1,138,138,138,138,138,138,138,"0,000%","7,24638","119,69","1,84"
http://20.50.171.10:9966/petclinic/api/pettypes 6 Pet clinic,1,45,45,45,45,45,45,45,"0,000%","22,22222","8,81","7,31"
http://20.50.171.10:9966/petclinic/api/pettypes 4 ${websiteName},1,209,209,209,209,209,209,209,"0,000%","4,78469","79,03","1,21"
http://20.50.171.10:9966/petclinic/api/pettypes 12 ${websiteName},1,142,142,142,142,142,142,142,"0,000%","7,04225","116,51","1,79"
http://20.50.171.10:9966/petclinic/api/pettypes 13 ${websiteName},1,136,136,136,136,136,136,136,"0,000%","7,35294","121,65","1,87"
http://20.50.171.10:9966/petclinic/api/pettypes 8 Pet clinic,1,44,44,44,44,44,44,44,"0,000%","22,72727","9,01","7,48"
http://20.50.171.10:9966/petclinic/api/pettypes 9 Pet clinic,1,45,45,45,45,45,45,45,"0,000%","22,22222","8,81","7,31"
http://20.50.171.10:9966/petclinic/api/pettypes 7 Pet clinic,1,54,54,54,54,54,54,54,"0,000%","18,51852","7,34","6,09"
http://20.50.171.10:9966/petclinic/api/pettypes 14 ${websiteName},1,143,143,143,143,143,143,143,"0,000%","6,99301","115,69","1,78"
http://20.50.171.10:9966/petclinic/api/pettypes 10 Pet clinic,1,52,52,52,52,52,52,52,"0,000%","19,23077","7,62","6,33"
http://20.50.171.10:9966/petclinic/api/pettypes 11 Pet clinic,1,43,43,43,43,43,43,43,"0,000%","23,25581","9,22","7,65"
http://20.50.171.10:9966/petclinic/api/pettypes 16 ${websiteName},1,132,132,132,132,132,132,132,"0,000%","7,57576","126,17","1,92"
http://20.50.171.10:9966/petclinic/api/pettypes 4 Pet clinic,1,45,45,45,45,45,45,45,"0,000%","22,22222","8,81","7,31"
http://20.50.171.10:9966/petclinic/api/pettypes 15 ${websiteName},1,148,148,148,148,148,148,148,"0,000%","6,75676","112,53","1,72"
http://20.50.171.10:9966/petclinic/api/pettypes 17 ${websiteName},1,132,132,132,132,132,132,132,"0,000%","7,57576","126,17","1,92"
http://20.50.171.10:9966/petclinic/api/pettypes 12 Pet clinic,1,45,45,45,45,45,45,45,"0,000%","22,22222","8,81","7,31"
http://20.50.171.10:9966/petclinic/api/pettypes 13 Pet clinic,1,51,51,51,51,51,51,51,"0,000%","19,60784","7,77","6,45"
http://20.50.171.10:9966/petclinic/api/pettypes 18 ${websiteName},1,145,145,145,145,145,145,145,"0,000%","6,89655","115,42","1,75"
