Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/specialties 1 ${websiteName},1,115,115,115,115,115,115,115,"0,000%","8,69565","8,31","2,23"
New veterinarian tab,10,101,101,105,105,115,93,115,"0,000%","10,05025","9,60","2,58"
http://20.50.171.10:9966/petclinic/api/vets 1 Pet clinic,2,49,47,51,51,51,47,51,"0,000%","20,20202","92,21","6,46"
http://20.50.171.10:9966/petclinic/api/specialties 2 ${websiteName},1,99,99,99,99,99,99,99,"0,000%","10,10101","9,65","2,59"
New veterinarian form,10,104,101,111,111,120,95,120,"0,000%","10,01001","95,52","6,40"
http://20.50.171.10:9966/petclinic/api/vets 2 Pet clinic,2,53,48,59,59,59,48,59,"0,000%","18,51852","85,38","5,92"
http://20.50.171.10:9966/petclinic/api/specialties 3 ${websiteName},1,104,104,104,104,104,104,104,"0,000%","9,61538","9,18","2,47"
http://20.50.171.10:9966/petclinic/api/vets 3 Pet clinic,2,54,54,55,55,55,54,55,"0,000%","18,18182","84,66","5,81"
http://20.50.171.10:9966/petclinic/api/specialties 4 ${websiteName},1,101,101,101,101,101,101,101,"0,000%","9,90099","9,46","2,54"
http://20.50.171.10:9966/petclinic/api/vets 4 Pet clinic,2,49,45,53,53,53,45,53,"0,000%","20,20202","94,99","6,46"
http://20.50.171.10:9966/petclinic/api/specialties 5 ${websiteName},1,98,98,98,98,98,98,98,"0,000%","10,20408","9,75","2,62"
http://20.50.171.10:9966/petclinic/api/vets 5 Pet clinic,2,55,55,56,56,56,55,56,"0,000%","17,85714","84,79","5,71"
http://20.50.171.10:9966/petclinic/api/specialties 6 ${websiteName},1,98,98,98,98,98,98,98,"0,000%","10,20408","9,75","2,62"
http://20.50.171.10:9966/petclinic/api/vets 6 Pet clinic,2,53,51,56,56,56,51,56,"0,000%","18,51852","88,78","5,92"
http://20.50.171.10:9966/petclinic/api/specialties 7 ${websiteName},1,104,104,104,104,104,104,104,"0,000%","9,61538","9,18","2,47"
http://20.50.171.10:9966/petclinic/api/vets 7 Pet clinic,2,50,46,55,55,55,46,55,"0,000%","19,80198","95,84","6,33"
http://20.50.171.10:9966/petclinic/api/specialties 8 ${websiteName},1,105,105,105,105,105,105,105,"0,000%","9,52381","9,10","2,45"
http://20.50.171.10:9966/petclinic/api/vets 8 Pet clinic,2,47,47,48,48,48,47,48,"0,000%","20,83333","101,79","6,66"
http://20.50.171.10:9966/petclinic/api/specialties 9 ${websiteName},1,101,101,101,101,101,101,101,"0,000%","9,90099","9,46","2,54"
http://20.50.171.10:9966/petclinic/api/vets 9 Pet clinic,2,48,43,53,53,53,43,53,"0,000%","20,61856","101,68","6,59"
http://20.50.171.10:9966/petclinic/api/specialties 10 ${websiteName},1,93,93,93,93,93,93,93,"0,000%","10,75269","10,27","2,76"
http://20.50.171.10:9966/petclinic/api/vets 10 Pet clinic,2,60,57,63,63,63,57,63,"0,000%","16,52893","82,27","5,29"
TOTAL,50,82,98,107,111,120,43,120,"0,000%","44,80287","188,12","16,07"
