Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/specialties 2 ${websiteName},1,288,288,288,288,288,288,288,"0,000%","3,47222","3,39","0,89"
New veterinarian tab,50,202,203,304,315,365,84,365,"0,000%","46,42526","45,34","11,92"
http://20.50.171.10:9966/petclinic/api/specialties 1 ${websiteName},1,318,318,318,318,318,318,318,"0,000%","3,14465","3,07","0,81"
http://20.50.171.10:9966/petclinic/api/specialties 6 ${websiteName},1,218,218,218,218,218,218,218,"0,000%","4,58716","4,48","1,18"
http://20.50.171.10:9966/petclinic/api/specialties 3 ${websiteName},1,264,264,264,264,264,264,264,"0,000%","3,78788","3,70","0,97"
http://20.50.171.10:9966/petclinic/api/specialties 8 ${websiteName},1,295,295,295,295,295,295,295,"0,000%","3,38983","3,31","0,87"
http://20.50.171.10:9966/petclinic/api/specialties 7 ${websiteName},1,315,315,315,315,315,315,315,"0,000%","3,17460","3,10","0,82"
http://20.50.171.10:9966/petclinic/api/specialties 4 ${websiteName},1,365,365,365,365,365,365,365,"0,000%","2,73973","2,68","0,70"
http://20.50.171.10:9966/petclinic/api/specialties 5 ${websiteName},1,357,357,357,357,357,357,357,"0,000%","2,80112","2,74","0,72"
http://20.50.171.10:9966/petclinic/api/specialties 14 ${websiteName},1,175,175,175,175,175,175,175,"0,000%","5,71429","5,58","1,47"
http://20.50.171.10:9966/petclinic/api/specialties 11 ${websiteName},1,237,237,237,237,237,237,237,"0,000%","4,21941","4,12","1,08"
http://20.50.171.10:9966/petclinic/api/specialties 9 ${websiteName},1,277,277,277,277,277,277,277,"0,000%","3,61011","3,53","0,93"
http://20.50.171.10:9966/petclinic/api/specialties 12 ${websiteName},1,217,217,217,217,217,217,217,"0,000%","4,60829","4,50","1,18"
http://20.50.171.10:9966/petclinic/api/specialties 13 ${websiteName},1,198,198,198,198,198,198,198,"0,000%","5,05051","4,93","1,30"
http://20.50.171.10:9966/petclinic/api/specialties 10 ${websiteName},1,258,258,258,258,258,258,258,"0,000%","3,87597","3,79","1,00"
http://20.50.171.10:9966/petclinic/api/vets 2 Pet clinic,2,143,126,160,160,160,126,160,"0,000%","6,96864","37,57","2,23"
http://20.50.171.10:9966/petclinic/api/vets 1 Pet clinic,2,145,134,156,156,156,134,156,"0,000%","6,89655","38,76","2,21"
http://20.50.171.10:9966/petclinic/api/vets 3 Pet clinic,2,147,140,155,155,155,140,155,"0,000%","6,77966","38,10","2,17"
http://20.50.171.10:9966/petclinic/api/vets 6 Pet clinic,2,149,142,157,157,157,142,157,"0,000%","6,66667","37,47","2,13"
http://20.50.171.10:9966/petclinic/api/vets 4 Pet clinic,2,91,43,140,140,140,43,140,"0,000%","10,92896","61,92","3,50"
http://20.50.171.10:9966/petclinic/api/vets 7 Pet clinic,2,91,43,140,140,140,43,140,"0,000%","10,92896","61,92","3,50"
http://20.50.171.10:9966/petclinic/api/specialties 15 ${websiteName},1,197,197,197,197,197,197,197,"0,000%","5,07614","4,96","1,30"
http://20.50.171.10:9966/petclinic/api/vets 8 Pet clinic,2,89,43,135,135,135,43,135,"0,000%","11,23596","63,66","3,59"
http://20.50.171.10:9966/petclinic/api/vets 5 Pet clinic,2,90,41,140,140,140,41,140,"0,000%","11,04972","62,61","3,53"
http://20.50.171.10:9966/petclinic/api/vets 9 Pet clinic,2,90,42,139,139,139,42,139,"0,000%","11,04972","62,61","3,53"
http://20.50.171.10:9966/petclinic/api/specialties 16 ${websiteName},1,297,297,297,297,297,297,297,"0,000%","3,36700","3,29","0,86"
http://20.50.171.10:9966/petclinic/api/vets 11 Pet clinic,2,168,161,175,175,175,161,175,"0,000%","5,93472","34,44","1,90"
http://20.50.171.10:9966/petclinic/api/vets 13 Pet clinic,2,165,161,170,170,170,161,170,"0,000%","6,02410","34,69","1,93"
New veterinarian form,50,199,167,308,331,345,129,345,"0,000%","53,30490","679,93","34,10"
http://20.50.171.10:9966/petclinic/api/vets 14 Pet clinic,2,169,161,178,178,178,161,178,"0,000%","5,88235","34,14","1,88"
http://20.50.171.10:9966/petclinic/api/vets 10 Pet clinic,2,164,162,167,167,167,162,167,"0,000%","6,07903","34,72","1,94"
http://20.50.171.10:9966/petclinic/api/specialties 18 ${websiteName},1,259,259,259,259,259,259,259,"0,000%","3,86100","3,77","0,99"
http://20.50.171.10:9966/petclinic/api/vets 12 Pet clinic,2,172,162,183,183,183,162,183,"0,000%","5,79710","33,64","1,85"
http://20.50.171.10:9966/petclinic/api/specialties 17 ${websiteName},1,279,279,279,279,279,279,279,"0,000%","3,58423","3,50","0,92"
http://20.50.171.10:9966/petclinic/api/specialties 19 ${websiteName},1,240,240,240,240,240,240,240,"0,000%","4,16667","4,07","1,07"
http://20.50.171.10:9966/petclinic/api/specialties 21 ${websiteName},1,200,200,200,200,200,200,200,"0,000%","5,00000","4,88","1,28"
http://20.50.171.10:9966/petclinic/api/specialties 22 ${websiteName},1,180,180,180,180,180,180,180,"0,000%","5,55556","5,43","1,43"
http://20.50.171.10:9966/petclinic/api/specialties 20 ${websiteName},1,219,219,219,219,219,219,219,"0,000%","4,56621","4,46","1,17"
http://20.50.171.10:9966/petclinic/api/vets 15 Pet clinic,2,154,135,173,173,173,135,173,"0,000%","6,49351","38,88","2,08"
http://20.50.171.10:9966/petclinic/api/vets 16 Pet clinic,2,105,46,165,165,165,46,165,"0,000%","9,47867","56,75","3,03"
http://20.50.171.10:9966/petclinic/api/specialties 23 ${websiteName},1,203,203,203,203,203,203,203,"0,000%","4,92611","4,81","1,27"
http://20.50.171.10:9966/petclinic/api/vets 18 Pet clinic,2,107,48,166,166,166,48,166,"0,000%","9,34579","56,39","2,99"
http://20.50.171.10:9966/petclinic/api/specialties 24 ${websiteName},1,311,311,311,311,311,311,311,"0,000%","3,21543","3,14","0,83"
http://20.50.171.10:9966/petclinic/api/vets 19 Pet clinic,2,111,50,173,173,173,50,173,"0,000%","8,96861","54,11","2,87"
http://20.50.171.10:9966/petclinic/api/vets 17 Pet clinic,2,114,54,175,175,175,54,175,"0,000%","8,73362","52,69","2,79"
http://20.50.171.10:9966/petclinic/api/vets 20 Pet clinic,2,119,62,176,176,176,62,176,"0,000%","8,36820","50,87","2,68"
http://20.50.171.10:9966/petclinic/api/vets 22 Pet clinic,2,115,54,176,176,176,54,176,"0,000%","8,65801","52,63","2,77"
http://20.50.171.10:9966/petclinic/api/vets 21 Pet clinic,2,113,49,178,178,178,49,178,"0,000%","8,81057","53,56","2,82"
http://20.50.171.10:9966/petclinic/api/specialties 25 ${websiteName},1,304,304,304,304,304,304,304,"0,000%","3,28947","3,21","0,84"
http://20.50.171.10:9966/petclinic/api/specialties 26 ${websiteName},1,286,286,286,286,286,286,286,"0,000%","3,49650","3,41","0,90"
http://20.50.171.10:9966/petclinic/api/specialties 27 ${websiteName},1,267,267,267,267,267,267,267,"0,000%","3,74532","3,66","0,96"
http://20.50.171.10:9966/petclinic/api/specialties 29 ${websiteName},1,228,228,228,228,228,228,228,"0,000%","4,38596","4,28","1,13"
http://20.50.171.10:9966/petclinic/api/specialties 28 ${websiteName},1,247,247,247,247,247,247,247,"0,000%","4,04858","3,95","1,04"
http://20.50.171.10:9966/petclinic/api/specialties 30 ${websiteName},1,207,207,207,207,207,207,207,"0,000%","4,83092","4,72","1,24"
http://20.50.171.10:9966/petclinic/api/specialties 31 ${websiteName},1,201,201,201,201,201,201,201,"0,000%","4,97512","4,86","1,28"
http://20.50.171.10:9966/petclinic/api/vets 23 Pet clinic,2,124,89,159,159,159,89,159,"0,000%","8,03213","51,41","2,57"
http://20.50.171.10:9966/petclinic/api/vets 24 Pet clinic,2,72,50,95,95,95,50,95,"0,000%","13,79310","88,29","4,41"
http://20.50.171.10:9966/petclinic/api/specialties 32 ${websiteName},1,206,206,206,206,206,206,206,"0,000%","4,85437","4,74","1,25"
http://20.50.171.10:9966/petclinic/api/vets 25 Pet clinic,2,67,41,93,93,93,41,93,"0,000%","14,81481","94,83","4,74"
http://20.50.171.10:9966/petclinic/api/vets 29 Pet clinic,2,80,41,119,119,119,41,119,"0,000%","12,42236","79,51","3,97"
http://20.50.171.10:9966/petclinic/api/vets 26 Pet clinic,2,81,45,117,117,117,45,117,"0,000%","12,34568","79,59","3,95"
http://20.50.171.10:9966/petclinic/api/vets 27 Pet clinic,2,66,45,88,88,88,45,88,"0,000%","14,92537","96,22","4,77"
http://20.50.171.10:9966/petclinic/api/specialties 33 ${websiteName},1,193,193,193,193,193,193,193,"0,000%","5,18135","5,06","1,33"
http://20.50.171.10:9966/petclinic/api/vets 28 Pet clinic,2,116,47,186,186,186,47,186,"0,000%","8,58369","55,73","2,75"
http://20.50.171.10:9966/petclinic/api/vets 30 Pet clinic,2,80,47,114,114,114,47,114,"0,000%","12,42236","80,08","3,97"
http://20.50.171.10:9966/petclinic/api/specialties 35 ${websiteName},1,162,162,162,162,162,162,162,"0,000%","6,17284","6,03","1,59"
http://20.50.171.10:9966/petclinic/api/specialties 38 ${websiteName},1,101,101,101,101,101,101,101,"0,000%","9,90099","9,67","2,54"
http://20.50.171.10:9966/petclinic/api/specialties 34 ${websiteName},1,182,182,182,182,182,182,182,"0,000%","5,49451","5,37","1,41"
http://20.50.171.10:9966/petclinic/api/specialties 36 ${websiteName},1,143,143,143,143,143,143,143,"0,000%","6,99301","6,83","1,80"
http://20.50.171.10:9966/petclinic/api/specialties 37 ${websiteName},1,123,123,123,123,123,123,123,"0,000%","8,13008","7,94","2,09"
http://20.50.171.10:9966/petclinic/api/vets 31 Pet clinic,2,69,45,94,94,94,45,94,"0,000%","14,38849","94,08","4,60"
http://20.50.171.10:9966/petclinic/api/specialties 39 ${websiteName},1,105,105,105,105,105,105,105,"0,000%","9,52381","9,30","2,45"
http://20.50.171.10:9966/petclinic/api/specialties 40 ${websiteName},1,94,94,94,94,94,94,94,"0,000%","10,63830","10,39","2,73"
http://20.50.171.10:9966/petclinic/api/vets 32 Pet clinic,2,71,54,89,89,89,54,89,"0,000%","13,98601","95,30","4,47"
http://20.50.171.10:9966/petclinic/api/specialties 41 ${websiteName},1,84,84,84,84,84,84,84,"0,000%","11,90476","11,63","3,06"
http://20.50.171.10:9966/petclinic/api/vets 33 Pet clinic,2,73,53,93,93,93,53,93,"0,000%","13,60544","93,33","4,35"
http://20.50.171.10:9966/petclinic/api/vets 36 Pet clinic,2,69,48,91,91,91,48,91,"0,000%","14,38849","98,70","4,60"
http://20.50.171.10:9966/petclinic/api/vets 34 Pet clinic,2,83,60,106,106,106,60,106,"0,000%","11,97605","82,15","3,83"
http://20.50.171.10:9966/petclinic/api/vets 38 Pet clinic,2,77,60,94,94,94,60,94,"0,000%","12,90323","88,51","4,13"
