Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 3,1,699,699,699,699,699,699,699,"0,000%","1,43062","425,94","0,36"
Owners tab,10,1084,960,1531,1531,1638,559,1638,"0,000%","4,10509","1222,21","1,03"
http://20.50.171.10:9966/petclinic/api/owners/5 3,2,81,53,110,110,110,53,110,"0,000%","7,87402","3,48","2,00"
http://20.50.171.10:9966/petclinic/api/pets/1 3,1,44,44,44,44,44,44,44,"100,000%","22,72727","5,66","5,79"
Owner page,10,99,99,104,104,113,93,113,"100,000%","6,10874","4,22","3,11"
http://20.50.171.10:9966/petclinic/api/visits 3,1,46,46,46,46,46,46,46,"100,000%","21,73913","13,25","12,63"
http://20.50.171.10:9966/petclinic/api/owners 6,1,633,633,633,633,633,633,633,"0,000%","1,57978","470,35","0,40"
http://20.50.171.10:9966/petclinic/api/owners 1,1,1133,1133,1133,1133,1133,1133,1133,"0,000%",",88261","262,78","0,22"
Visit form,10,163,162,167,167,187,149,187,"100,000%","5,79374","6,09","4,84"
http://20.50.171.10:9966/petclinic/api/owners/5 6,2,76,49,103,103,103,49,103,"0,000%","8,23045","3,63","2,09"
http://20.50.171.10:9966/petclinic/api/owners/5 1,2,82,49,116,116,116,49,116,"0,000%","7,81250","3,45","1,98"
http://20.50.171.10:9966/petclinic/api/pets/1 1,1,44,44,44,44,44,44,44,"100,000%","22,72727","5,66","5,79"
http://20.50.171.10:9966/petclinic/api/pets/1 6,1,45,45,45,45,45,45,45,"100,000%","22,22222","5,53","5,66"
http://20.50.171.10:9966/petclinic/api/visits 1,1,46,46,46,46,46,46,46,"100,000%","21,73913","13,25","12,63"
http://20.50.171.10:9966/petclinic/api/visits 6,1,46,46,46,46,46,46,46,"100,000%","21,73913","13,25","12,63"
http://20.50.171.10:9966/petclinic/api/owners 9,1,559,559,559,559,559,559,559,"0,000%","1,78891","532,61","0,45"
http://20.50.171.10:9966/petclinic/api/owners 5,1,959,959,959,959,959,959,959,"0,000%","1,04275","310,46","0,26"
http://20.50.171.10:9966/petclinic/api/owners/5 5,2,79,55,104,104,104,55,104,"0,000%","7,46269","3,29","1,89"
http://20.50.171.10:9966/petclinic/api/owners/5 9,2,76,55,97,97,97,55,97,"0,000%","7,66284","3,38","1,95"
http://20.50.171.10:9966/petclinic/api/pets/1 5,1,46,46,46,46,46,46,46,"100,000%","21,73913","5,41","5,54"
http://20.50.171.10:9966/petclinic/api/pets/1 9,1,46,46,46,46,46,46,46,"100,000%","21,73913","5,41","5,54"
http://20.50.171.10:9966/petclinic/api/visits 9,1,63,63,63,63,63,63,63,"100,000%","15,87302","9,67","9,22"
http://20.50.171.10:9966/petclinic/api/visits 5,1,63,63,63,63,63,63,63,"100,000%","15,87302","9,67","9,22"
http://20.50.171.10:9966/petclinic/api/owners 4,1,1222,1222,1222,1222,1222,1222,1222,"0,000%",",81833","243,64","0,21"
http://20.50.171.10:9966/petclinic/api/owners/5 4,2,82,54,111,111,111,54,111,"0,000%","7,87402","3,48","2,00"
http://20.50.171.10:9966/petclinic/api/owners 2,1,1510,1510,1510,1510,1510,1510,1510,"0,000%",",66225","197,17","0,17"
http://20.50.171.10:9966/petclinic/api/pets/1 4,1,42,42,42,42,42,42,42,"100,000%","23,80952","5,93","6,07"
http://20.50.171.10:9966/petclinic/api/owners 8,1,960,960,960,960,960,960,960,"0,000%","1,04167","310,13","0,26"
http://20.50.171.10:9966/petclinic/api/owners/5 2,2,84,53,115,115,115,53,115,"0,000%","7,60456","3,36","1,93"
http://20.50.171.10:9966/petclinic/api/visits 4,1,47,47,47,47,47,47,47,"100,000%","21,27660","12,97","12,36"
http://20.50.171.10:9966/petclinic/api/pets/1 2,1,47,47,47,47,47,47,47,"100,000%","21,27660","5,30","5,42"
http://20.50.171.10:9966/petclinic/api/owners/5 8,2,84,52,117,117,117,52,117,"0,000%","7,57576","3,34","1,92"
http://20.50.171.10:9966/petclinic/api/pets/1 8,1,47,47,47,47,47,47,47,"100,000%","21,27660","5,30","5,42"
http://20.50.171.10:9966/petclinic/api/visits 2,1,47,47,47,47,47,47,47,"100,000%","21,27660","12,97","12,36"
http://20.50.171.10:9966/petclinic/api/visits 8,1,48,48,48,48,48,48,48,"100,000%","20,83333","12,70","12,11"
http://20.50.171.10:9966/petclinic/api/owners 7,1,1638,1638,1638,1638,1638,1638,1638,"0,000%",",61050","181,76","0,15"
http://20.50.171.10:9966/petclinic/api/owners/5 7,2,93,69,117,117,117,69,117,"0,000%","7,22022","3,19","1,83"
http://20.50.171.10:9966/petclinic/api/pets/1 7,1,44,44,44,44,44,44,44,"100,000%","22,72727","5,66","5,79"
http://20.50.171.10:9966/petclinic/api/visits 7,1,47,47,47,47,47,47,47,"100,000%","21,27660","12,97","12,36"
http://20.50.171.10:9966/petclinic/api/owners 10,1,1531,1531,1531,1531,1531,1531,1531,"0,000%",",65317","194,47","0,16"
http://20.50.171.10:9966/petclinic/api/owners/5 10,2,95,61,130,130,130,61,130,"0,000%","6,82594","3,01","1,73"
http://20.50.171.10:9966/petclinic/api/pets/1 10,1,43,43,43,43,43,43,43,"100,000%","23,25581","5,79","5,93"
http://20.50.171.10:9966/petclinic/api/visits 10,1,57,57,57,57,57,57,57,"100,000%","17,54386","10,69","10,19"
TOTAL,80,336,103,1133,1510,1638,42,1638,"50,000%","29,30403","2193,92","11,69"
