Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 3 ${websiteName},1,1446,1446,1446,1446,1446,1446,1446,"0,000%",",69156","205,90","0,17"
Owners tab,100,6113,6407,8113,8742,8985,1333,9015,"0,000%","10,56189","3144,59","2,66"
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},1,1486,1486,1486,1486,1486,1486,1486,"0,000%",",67295","200,36","0,17"
http://20.50.171.10:9966/petclinic/api/owners 9 ${websiteName},1,1617,1617,1617,1617,1617,1617,1617,"0,000%",",61843","184,12","0,16"
http://20.50.171.10:9966/petclinic/api/owners 54 ${websiteName},1,1333,1333,1333,1333,1333,1333,1333,"0,000%",",75019","223,35","0,19"
http://20.50.171.10:9966/petclinic/api/owners 21 ${websiteName},1,1932,1932,1932,1932,1932,1932,1932,"0,000%",",51760","154,10","0,13"
http://20.50.171.10:9966/petclinic/api/owners 5 ${websiteName},1,2800,2800,2800,2800,2800,2800,2800,"0,000%",",35714","106,33","0,09"
http://20.50.171.10:9966/petclinic/api/owners 24 ${websiteName},1,2757,2757,2757,2757,2757,2757,2757,"0,000%",",36271","107,99","0,09"
http://20.50.171.10:9966/petclinic/api/owners 14 ${websiteName},1,2972,2972,2972,2972,2972,2972,2972,"0,000%",",33647","100,18","0,08"
http://20.50.171.10:9966/petclinic/api/owners 30 ${websiteName},1,3096,3096,3096,3096,3096,3096,3096,"0,000%",",32300","96,17","0,08"
http://20.50.171.10:9966/petclinic/api/owners 27 ${websiteName},1,3347,3347,3347,3347,3347,3347,3347,"0,000%",",29878","88,95","0,08"
http://20.50.171.10:9966/petclinic/api/owners 8 ${websiteName},1,3636,3636,3636,3636,3636,3636,3636,"0,000%",",27503","81,88","0,07"
http://20.50.171.10:9966/petclinic/api/owners 40 ${websiteName},1,3369,3369,3369,3369,3369,3369,3369,"0,000%",",29682","88,37","0,07"
http://20.50.171.10:9966/petclinic/api/owners 42 ${websiteName},1,3718,3718,3718,3718,3718,3718,3718,"0,000%",",26896","80,08","0,07"
http://20.50.171.10:9966/petclinic/api/owners 35 ${websiteName},1,3895,3895,3895,3895,3895,3895,3895,"0,000%",",25674","76,44","0,06"
http://20.50.171.10:9966/petclinic/api/owners 36 ${websiteName},1,3900,3900,3900,3900,3900,3900,3900,"0,000%",",25641","76,34","0,06"
http://20.50.171.10:9966/petclinic/api/owners 26 ${websiteName},1,4082,4082,4082,4082,4082,4082,4082,"0,000%",",24498","72,94","0,06"
http://20.50.171.10:9966/petclinic/api/owners 6 ${websiteName},1,4737,4737,4737,4737,4737,4737,4737,"0,000%",",21110","62,85","0,05"
http://20.50.171.10:9966/petclinic/api/owners 51 ${websiteName},1,4317,4317,4317,4317,4317,4317,4317,"0,000%",",23164","68,97","0,06"
http://20.50.171.10:9966/petclinic/api/owners 45 ${websiteName},1,4385,4385,4385,4385,4385,4385,4385,"0,000%",",22805","67,90","0,06"
http://20.50.171.10:9966/petclinic/api/owners 15 ${websiteName},1,4809,4809,4809,4809,4809,4809,4809,"0,000%",",20794","61,91","0,05"
http://20.50.171.10:9966/petclinic/api/owners 37 ${websiteName},1,4788,4788,4788,4788,4788,4788,4788,"0,000%",",20886","62,18","0,05"
http://20.50.171.10:9966/petclinic/api/owners/5 37 Pet clinic,1,45,45,45,45,45,45,45,"0,000%","22,22222","9,81","5,64"
http://20.50.171.10:9966/petclinic/api/owners/5 3 Pet clinic,1,3705,3705,3705,3705,3705,3705,3705,"0,000%",",26991","0,12","0,07"
http://20.50.171.10:9966/petclinic/api/owners/5 9 Pet clinic,1,3499,3499,3499,3499,3499,3499,3499,"0,000%",",28580","0,13","0,07"
http://20.50.171.10:9966/petclinic/api/owners/5 2 Pet clinic,1,3696,3696,3696,3696,3696,3696,3696,"0,000%",",27056","0,12","0,07"
http://20.50.171.10:9966/petclinic/api/owners 16 ${websiteName},1,5064,5064,5064,5064,5064,5064,5064,"0,000%",",19747","58,79","0,05"
http://20.50.171.10:9966/petclinic/api/owners 41 ${websiteName},1,4816,4816,4816,4816,4816,4816,4816,"0,000%",",20764","61,82","0,05"
http://20.50.171.10:9966/petclinic/api/owners 13 ${websiteName},1,5147,5147,5147,5147,5147,5147,5147,"0,000%",",19429","57,85","0,05"
http://20.50.171.10:9966/petclinic/api/owners 12 ${websiteName},1,5172,5172,5172,5172,5172,5172,5172,"0,000%",",19335","57,57","0,05"
http://20.50.171.10:9966/petclinic/api/owners/5 54 Pet clinic,1,3440,3440,3440,3440,3440,3440,3440,"0,000%",",29070","0,13","0,07"
http://20.50.171.10:9966/petclinic/api/owners 28 ${websiteName},1,5033,5033,5033,5033,5033,5033,5033,"0,000%",",19869","59,16","0,05"
http://20.50.171.10:9966/petclinic/api/owners 34 ${websiteName},1,5024,5024,5024,5024,5024,5024,5024,"0,000%",",19904","59,26","0,05"
http://20.50.171.10:9966/petclinic/api/owners 1 ${websiteName},1,5387,5387,5387,5387,5387,5387,5387,"0,000%",",18563","55,27","0,05"
http://20.50.171.10:9966/petclinic/api/owners 66 ${websiteName},1,4804,4804,4804,4804,4804,4804,4804,"0,000%",",20816","61,98","0,05"
http://20.50.171.10:9966/petclinic/api/owners/5 21 Pet clinic,1,3389,3389,3389,3389,3389,3389,3389,"0,000%",",29507","0,13","0,07"
http://20.50.171.10:9966/petclinic/api/owners/5 24 Pet clinic,1,2532,2532,2532,2532,2532,2532,2532,"0,000%",",39494","0,17","0,10"
http://20.50.171.10:9966/petclinic/api/owners/5 30 Pet clinic,1,2134,2134,2134,2134,2134,2134,2134,"0,000%",",46860","0,21","0,12"
http://20.50.171.10:9966/petclinic/api/owners/5 27 Pet clinic,1,1914,1914,1914,1914,1914,1914,1914,"0,000%",",52247","0,23","0,13"
http://20.50.171.10:9966/petclinic/api/owners/5 14 Pet clinic,1,2417,2417,2417,2417,2417,2417,2417,"0,000%",",41374","0,18","0,11"
http://20.50.171.10:9966/petclinic/api/owners/5 42 Pet clinic,1,1392,1392,1392,1392,1392,1392,1392,"0,000%",",71839","0,32","0,18"
http://20.50.171.10:9966/petclinic/api/owners/5 8 Pet clinic,1,1814,1814,1814,1814,1814,1814,1814,"0,000%",",55127","0,24","0,14"
http://20.50.171.10:9966/petclinic/api/owners/5 40 Pet clinic,1,1762,1762,1762,1762,1762,1762,1762,"0,000%",",56754","0,25","0,14"
http://20.50.171.10:9966/petclinic/api/owners/5 5 Pet clinic,1,2679,2679,2679,2679,2679,2679,2679,"0,000%",",37327","0,16","0,09"
http://20.50.171.10:9966/petclinic/api/owners/5 35 Pet clinic,1,1285,1285,1285,1285,1285,1285,1285,"0,000%",",77821","0,34","0,20"
http://20.50.171.10:9966/petclinic/api/owners/5 6 Pet clinic,1,735,735,735,735,735,735,735,"0,000%","1,36054","0,60","0,35"
http://20.50.171.10:9966/petclinic/api/owners/5 26 Pet clinic,1,1190,1190,1190,1190,1190,1190,1190,"0,000%",",84034","0,37","0,21"
http://20.50.171.10:9966/petclinic/api/owners/5 36 Pet clinic,1,1272,1272,1272,1272,1272,1272,1272,"0,000%",",78616","0,35","0,20"
http://20.50.171.10:9966/petclinic/api/owners/5 51 Pet clinic,1,710,710,710,710,710,710,710,"0,000%","1,40845","0,62","0,36"
http://20.50.171.10:9966/petclinic/api/owners/5 15 Pet clinic,1,593,593,593,593,593,593,593,"0,000%","1,68634","0,74","0,43"
http://20.50.171.10:9966/petclinic/api/pets/1 9 Pet clinic,1,347,347,347,347,347,347,347,"100,000%","2,88184","0,72","0,97"
http://20.50.171.10:9966/petclinic/api/pets/1 37 Pet clinic,1,352,352,352,352,352,352,352,"100,000%","2,84091","0,71","0,95"
http://20.50.171.10:9966/petclinic/api/owners/5 45 Pet clinic,1,720,720,720,720,720,720,720,"0,000%","1,38889","0,61","0,35"
http://20.50.171.10:9966/petclinic/api/pets/1 2 Pet clinic,1,342,342,342,342,342,342,342,"100,000%","2,92398","0,73","0,98"
Owner page,100,551,106,1892,3013,4038,81,4052,"100,000%","12,38237","8,55","7,30"
http://20.50.171.10:9966/petclinic/api/owners/5 16 Pet clinic,1,332,332,332,332,332,332,332,"0,000%","3,01205","1,33","0,76"
http://20.50.171.10:9966/petclinic/api/pets/1 3 Pet clinic,1,347,347,347,347,347,347,347,"100,000%","2,88184","0,72","0,97"
http://20.50.171.10:9966/petclinic/api/owners/5 41 Pet clinic,1,330,330,330,330,330,330,330,"0,000%","3,03030","1,34","0,77"
http://20.50.171.10:9966/petclinic/api/pets/1 54 Pet clinic,1,239,239,239,239,239,239,239,"100,000%","4,18410","1,04","1,41"
http://20.50.171.10:9966/petclinic/api/owners/5 28 Pet clinic,1,239,239,239,239,239,239,239,"0,000%","4,18410","1,85","1,06"
http://20.50.171.10:9966/petclinic/api/owners/5 13 Pet clinic,1,278,278,278,278,278,278,278,"0,000%","3,59712","1,59","0,91"
http://20.50.171.10:9966/petclinic/api/owners/5 12 Pet clinic,1,264,264,264,264,264,264,264,"0,000%","3,78788","1,67","0,96"
http://20.50.171.10:9966/petclinic/api/owners/5 34 Pet clinic,1,191,191,191,191,191,191,191,"0,000%","5,23560","2,31","1,33"
http://20.50.171.10:9966/petclinic/api/owners/5 1 Pet clinic,1,160,160,160,160,160,160,160,"0,000%","6,25000","2,76","1,59"
http://20.50.171.10:9966/petclinic/api/owners/5 66 Pet clinic,1,92,92,92,92,92,92,92,"0,000%","10,86957","4,80","2,76"
http://20.50.171.10:9966/petclinic/api/pets/1 21 Pet clinic,1,79,79,79,79,79,79,79,"100,000%","12,65823","3,15","4,25"
http://20.50.171.10:9966/petclinic/api/pets/1 14 Pet clinic,1,78,78,78,78,78,78,78,"100,000%","12,82051","3,19","4,31"
http://20.50.171.10:9966/petclinic/api/pets/1 35 Pet clinic,1,78,78,78,78,78,78,78,"100,000%","12,82051","3,19","4,31"
http://20.50.171.10:9966/petclinic/api/pets/1 42 Pet clinic,1,78,78,78,78,78,78,78,"100,000%","12,82051","3,19","4,31"
http://20.50.171.10:9966/petclinic/api/pets/1 27 Pet clinic,1,79,79,79,79,79,79,79,"100,000%","12,65823","3,15","4,25"
http://20.50.171.10:9966/petclinic/api/pets/1 8 Pet clinic,1,78,78,78,78,78,78,78,"100,000%","12,82051","3,19","4,31"
http://20.50.171.10:9966/petclinic/api/pets/1 24 Pet clinic,1,79,79,79,79,79,79,79,"100,000%","12,65823","3,15","4,25"
http://20.50.171.10:9966/petclinic/api/pets/1 26 Pet clinic,1,78,78,78,78,78,78,78,"100,000%","12,82051","3,19","4,31"
http://20.50.171.10:9966/petclinic/api/pets/1 6 Pet clinic,1,81,81,81,81,81,81,81,"100,000%","12,34568","3,07","4,15"
http://20.50.171.10:9966/petclinic/api/pets/1 40 Pet clinic,1,93,93,93,93,93,93,93,"100,000%","10,75269","2,68","3,61"
http://20.50.171.10:9966/petclinic/api/pets/1 45 Pet clinic,1,68,68,68,68,68,68,68,"100,000%","14,70588","3,66","4,94"
http://20.50.171.10:9966/petclinic/api/pets/1 28 Pet clinic,1,67,67,67,67,67,67,67,"100,000%","14,92537","3,72","5,01"
http://20.50.171.10:9966/petclinic/api/pets/1 66 Pet clinic,1,67,67,67,67,67,67,67,"100,000%","14,92537","3,72","5,01"
http://20.50.171.10:9966/petclinic/api/pets/1 1 Pet clinic,1,69,69,69,69,69,69,69,"100,000%","14,49275","3,61","4,87"
http://20.50.171.10:9966/petclinic/api/pets/1 34 Pet clinic,1,69,69,69,69,69,69,69,"100,000%","14,49275","3,61","4,87"
http://20.50.171.10:9966/petclinic/api/pets/1 41 Pet clinic,1,70,70,70,70,70,70,70,"100,000%","14,28571","3,56","4,80"
http://20.50.171.10:9966/petclinic/api/pets/1 16 Pet clinic,1,70,70,70,70,70,70,70,"100,000%","14,28571","3,56","4,80"
http://20.50.171.10:9966/petclinic/api/pets/1 30 Pet clinic,1,97,97,97,97,97,97,97,"100,000%","10,30928","2,57","3,46"
http://20.50.171.10:9966/petclinic/api/pets/1 13 Pet clinic,1,69,69,69,69,69,69,69,"100,000%","14,49275","3,61","4,87"
http://20.50.171.10:9966/petclinic/api/pets/1 51 Pet clinic,1,89,89,89,89,89,89,89,"100,000%","11,23596","2,80","3,77"
http://20.50.171.10:9966/petclinic/api/pets/1 12 Pet clinic,1,73,73,73,73,73,73,73,"100,000%","13,69863","3,41","4,60"
