Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 1 ${websiteName},1,155,155,155,155,155,155,155,"0,000%","6,45161","211,81","1,64"
Pet types tab,50,206,159,218,434,1169,129,1169,"0,000%","35,11236","1152,74","8,92"
http://20.50.171.10:9966/petclinic/api/pettypes/1 1 Pet clinic,1,52,52,52,52,52,52,52,"100,000%","19,23077","4,79","6,57"
http://20.50.171.10:9966/petclinic/api/pettypes 4 ${websiteName},1,147,147,147,147,147,147,147,"0,000%","6,80272","223,33","1,73"
Delete pet,50,45,43,53,54,66,40,66,"100,000%","38,16794","9,50","13,05"
http://20.50.171.10:9966/petclinic/api/pettypes 2 ${websiteName},1,210,210,210,210,210,210,210,"0,000%","4,76190","156,33","1,21"
http://20.50.171.10:9966/petclinic/api/pettypes/1 4 Pet clinic,1,42,42,42,42,42,42,42,"100,000%","23,80952","5,93","8,14"
http://20.50.171.10:9966/petclinic/api/pettypes 6 ${websiteName},1,152,152,152,152,152,152,152,"0,000%","6,57895","215,99","1,67"
http://20.50.171.10:9966/petclinic/api/pettypes 5 ${websiteName},1,185,185,185,185,185,185,185,"0,000%","5,40541","177,46","1,37"
http://20.50.171.10:9966/petclinic/api/pettypes 7 ${websiteName},1,157,157,157,157,157,157,157,"0,000%","6,36943","209,11","1,62"
http://20.50.171.10:9966/petclinic/api/pettypes/1 2 Pet clinic,1,40,40,40,40,40,40,40,"100,000%","25,00000","6,23","8,54"
http://20.50.171.10:9966/petclinic/api/pettypes/1 6 Pet clinic,1,43,43,43,43,43,43,43,"100,000%","23,25581","5,79","7,95"
http://20.50.171.10:9966/petclinic/api/pettypes 9 ${websiteName},1,149,149,149,149,149,149,149,"0,000%","6,71141","220,34","1,70"
http://20.50.171.10:9966/petclinic/api/pettypes/1 5 Pet clinic,1,56,56,56,56,56,56,56,"100,000%","17,85714","4,45","6,10"
http://20.50.171.10:9966/petclinic/api/pettypes/1 7 Pet clinic,1,45,45,45,45,45,45,45,"100,000%","22,22222","5,53","7,60"
http://20.50.171.10:9966/petclinic/api/pettypes 10 ${websiteName},1,144,144,144,144,144,144,144,"0,000%","6,94444","227,99","1,76"
http://20.50.171.10:9966/petclinic/api/pettypes 8 ${websiteName},1,199,199,199,199,199,199,199,"0,000%","5,02513","164,98","1,28"
http://20.50.171.10:9966/petclinic/api/pettypes/1 9 Pet clinic,1,41,41,41,41,41,41,41,"100,000%","24,39024","6,07","8,34"
