Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 3 ${websiteName},1,136,136,136,136,136,136,136,"0,000%","7,35294","109,76","1,87"
http://20.50.171.10:9966/petclinic/api/pettypes 1 ${websiteName},1,176,176,176,176,176,176,176,"0,000%","5,68182","84,82","1,44"
http://20.50.171.10:9966/petclinic/api/pettypes 2 ${websiteName},1,146,146,146,146,146,146,146,"0,000%","6,84932","102,24","1,74"
Pet types tab,50,183,176,221,224,260,133,260,"0,000%","40,22526","600,47","10,21"
http://20.50.171.10:9966/petclinic/api/pettypes 4 ${websiteName},1,156,156,156,156,156,156,156,"0,000%","6,41026","95,69","1,63"
http://20.50.171.10:9966/petclinic/api/pettypes 5 ${websiteName},1,139,139,139,139,139,139,139,"0,000%","7,19424","107,39","1,83"
http://20.50.171.10:9966/petclinic/api/pettypes/1 2 Pet clinic,2,44,41,48,48,48,41,48,"0,000%","22,22222","6,83","6,55"
http://20.50.171.10:9966/petclinic/api/pettypes/1 3 Pet clinic,2,44,41,48,48,48,41,48,"0,000%","22,22222","6,83","6,55"
http://20.50.171.10:9966/petclinic/api/pettypes/1 1 Pet clinic,2,49,48,51,51,51,48,51,"0,000%","20,00000","6,14","5,90"
http://20.50.171.10:9966/petclinic/api/pettypes 6 ${websiteName},1,144,144,144,144,144,144,144,"0,000%","6,94444","103,66","1,76"
http://20.50.171.10:9966/petclinic/api/pettypes 7 ${websiteName},1,133,133,133,133,133,133,133,"0,000%","7,51880","112,24","1,91"
http://20.50.171.10:9966/petclinic/api/pettypes/1 4 Pet clinic,2,52,49,55,55,55,49,55,"0,000%","19,04762","5,85","5,62"
http://20.50.171.10:9966/petclinic/api/pettypes/1 5 Pet clinic,2,51,49,54,54,54,49,54,"0,000%","19,23077","5,91","5,67"
http://20.50.171.10:9966/petclinic/api/pettypes 8 ${websiteName},1,146,146,146,146,146,146,146,"0,000%","6,84932","102,24","1,74"
http://20.50.171.10:9966/petclinic/api/pettypes/1 6 Pet clinic,2,49,43,55,55,55,43,55,"0,000%","20,20202","6,20","5,96"
http://20.50.171.10:9966/petclinic/api/pettypes 9 ${websiteName},1,142,142,142,142,142,142,142,"0,000%","7,04225","105,12","1,79"
http://20.50.171.10:9966/petclinic/api/pettypes/1 7 Pet clinic,2,68,58,78,78,78,58,78,"0,000%","14,70588","4,52","4,34"
http://20.50.171.10:9966/petclinic/api/pettypes 10 ${websiteName},1,146,146,146,146,146,146,146,"0,000%","6,84932","102,24","1,74"
http://20.50.171.10:9966/petclinic/api/pettypes/1 8 Pet clinic,2,58,46,70,70,70,46,70,"0,000%","17,09402","5,25","5,04"
http://20.50.171.10:9966/petclinic/api/pettypes/1 9 Pet clinic,2,65,54,77,77,77,54,77,"0,000%","15,15152","4,65","4,47"
http://20.50.171.10:9966/petclinic/api/pettypes 3 Pet clinic,1,123,123,123,123,123,123,123,"0,000%","8,13008","121,36","2,06"
http://20.50.171.10:9966/petclinic/api/pettypes 2 Pet clinic,1,123,123,123,123,123,123,123,"0,000%","8,13008","121,36","2,06"
Edit pet type form,50,259,257,303,308,491,156,491,"0,000%","37,14710","577,34","31,34"
http://20.50.171.10:9966/petclinic/api/pettypes 12 ${websiteName},1,171,171,171,171,171,171,171,"0,000%","5,84795","87,30","1,48"
http://20.50.171.10:9966/petclinic/api/pettypes/1 10 Pet clinic,2,64,55,74,74,74,55,74,"0,000%","15,50388","4,76","4,57"
http://20.50.171.10:9966/petclinic/api/pettypes 1 Pet clinic,1,123,123,123,123,123,123,123,"0,000%","8,13008","121,36","2,06"
http://20.50.171.10:9966/petclinic/api/pettypes 13 ${websiteName},1,161,161,161,161,161,161,161,"0,000%","6,21118","92,72","1,58"
http://20.50.171.10:9966/petclinic/api/pettypes 11 ${websiteName},1,204,204,204,204,204,204,204,"0,000%","4,90196","73,18","1,24"
http://20.50.171.10:9966/petclinic/api/pettypes 5 Pet clinic,1,131,131,131,131,131,131,131,"0,000%","7,63359","113,95","1,94"
http://20.50.171.10:9966/petclinic/api/pettypes 4 Pet clinic,1,130,130,130,130,130,130,130,"0,000%","7,69231","114,83","1,95"
http://20.50.171.10:9966/petclinic/api/pettypes 15 ${websiteName},1,175,175,175,175,175,175,175,"0,000%","5,71429","85,30","1,45"
http://20.50.171.10:9966/petclinic/api/pettypes 14 ${websiteName},1,195,195,195,195,195,195,195,"0,000%","5,12821","76,55","1,30"
http://20.50.171.10:9966/petclinic/api/pettypes/1 11 Pet clinic,2,57,51,63,63,63,51,63,"0,000%","17,39130","5,34","5,13"
http://20.50.171.10:9966/petclinic/api/pettypes 6 Pet clinic,1,110,110,110,110,110,110,110,"0,000%","9,09091","135,71","2,31"
http://20.50.171.10:9966/petclinic/api/pettypes/1 12 Pet clinic,2,63,63,63,63,63,63,63,"0,000%","15,87302","4,88","4,68"
http://20.50.171.10:9966/petclinic/api/pettypes 16 ${websiteName},1,161,161,161,161,161,161,161,"0,000%","6,21118","92,72","1,58"
http://20.50.171.10:9966/petclinic/api/pettypes/1 13 Pet clinic,2,68,61,76,76,76,61,76,"0,000%","14,49275","4,45","4,27"
http://20.50.171.10:9966/petclinic/api/pettypes 7 Pet clinic,1,126,126,126,126,126,126,126,"0,000%","7,93651","118,47","2,02"
