Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/pettypes 1 ${websiteName},1,585,585,585,585,585,585,585,"0,000%","1,70940","56,16","0,43"
http://20.50.171.10:9966/petclinic/api/pettypes 2 ${websiteName},1,471,471,471,471,471,471,471,"0,000%","2,12314","69,76","0,54"
Pet types tab,10,648,655,739,739,783,471,783,"0,000%","6,30517","207,17","1,60"
http://20.50.171.10:9966/petclinic/api/pettypes 3 ${websiteName},1,718,718,718,718,718,718,718,"0,000%","1,39276","45,76","0,35"
http://20.50.171.10:9966/petclinic/api/pettypes 5 ${websiteName},1,518,518,518,518,518,518,518,"0,000%","1,93050","63,43","0,49"
http://20.50.171.10:9966/petclinic/api/pettypes 4 ${websiteName},1,618,618,618,618,618,618,618,"0,000%","1,61812","53,17","0,41"
http://20.50.171.10:9966/petclinic/api/pettypes 6 ${websiteName},1,739,739,739,739,739,739,739,"0,000%","1,35318","44,46","0,34"
http://20.50.171.10:9966/petclinic/api/pettypes 7 ${websiteName},1,655,655,655,655,655,655,655,"0,000%","1,52672","50,16","0,39"
http://20.50.171.10:9966/petclinic/api/pettypes 8 ${websiteName},1,716,716,716,716,716,716,716,"0,000%","1,39665","45,89","0,35"
http://20.50.171.10:9966/petclinic/api/pettypes 9 ${websiteName},1,783,783,783,783,783,783,783,"0,000%","1,27714","41,96","0,32"
http://20.50.171.10:9966/petclinic/api/pettypes 10 ${websiteName},1,685,685,685,685,685,685,685,"0,000%","1,45985","47,97","0,37"
TOTAL,20,648,655,739,783,783,471,783,"0,000%","12,61034","414,33","3,20"
