Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
http://20.50.171.10:9966/petclinic/api/owners 2 ${websiteName},1,833,833,833,833,833,833,833,"0,000%","1,20048","357,42","0,30"
Owners tab,50,3332,3303,5241,5678,6747,833,6747,"0,000%","6,81942","2030,34","1,72"
http://20.50.171.10:9966/petclinic/api/owners 1 ${websiteName},1,891,891,891,891,891,891,891,"0,000%","1,12233","334,15","0,28"
http://20.50.171.10:9966/petclinic/api/owners 5 ${websiteName},1,982,982,982,982,982,982,982,"0,000%","1,01833","303,19","0,26"
http://20.50.171.10:9966/petclinic/api/owners 8 ${websiteName},1,1138,1138,1138,1138,1138,1138,1138,"0,000%",",87873","261,63","0,22"
http://20.50.171.10:9966/petclinic/api/owners/5 8 Pet clinic,2,47,46,49,49,49,46,49,"0,000%",",66622","0,29","0,17"
http://20.50.171.10:9966/petclinic/api/owners 11 ${websiteName},1,1283,1283,1283,1283,1283,1283,1283,"0,000%",",77942","232,06","0,20"
http://20.50.171.10:9966/petclinic/api/owners 9 ${websiteName},1,1552,1552,1552,1552,1552,1552,1552,"0,000%",",64433","191,84","0,16"
http://20.50.171.10:9966/petclinic/api/owners 20 ${websiteName},1,1462,1462,1462,1462,1462,1462,1462,"0,000%",",68399","203,65","0,17"
http://20.50.171.10:9966/petclinic/api/owners 16 ${websiteName},1,1603,1603,1603,1603,1603,1603,1603,"0,000%",",62383","185,73","0,16"
http://20.50.171.10:9966/petclinic/api/owners/5 2 Pet clinic,2,584,46,1123,1123,1123,46,1123,"0,000%",",89686","0,40","0,23"
http://20.50.171.10:9966/petclinic/api/owners/5 1 Pet clinic,2,610,51,1170,1170,1170,51,1170,"0,000%",",65876","0,29","0,17"
http://20.50.171.10:9966/petclinic/api/owners 14 ${websiteName},1,1804,1804,1804,1804,1804,1804,1804,"0,000%",",55432","165,04","0,14"
http://20.50.171.10:9966/petclinic/api/owners 17 ${websiteName},1,2063,2063,2063,2063,2063,2063,2063,"0,000%",",48473","144,32","0,12"
http://20.50.171.10:9966/petclinic/api/owners/5 5 Pet clinic,2,715,46,1384,1384,1384,46,1384,"0,000%","1,16959","0,52","0,30"
http://20.50.171.10:9966/petclinic/api/owners/5 11 Pet clinic,2,529,51,1008,1008,1008,51,1008,"0,000%","1,04112","0,46","0,26"
http://20.50.171.10:9966/petclinic/api/owners/5 20 Pet clinic,2,357,65,650,650,650,65,650,"0,000%","2,09424","0,92","0,53"
http://20.50.171.10:9966/petclinic/api/owners/5 16 Pet clinic,2,310,45,575,575,575,45,575,"0,000%","1,61160","0,71","0,41"
http://20.50.171.10:9966/petclinic/api/owners/5 17 Pet clinic,2,113,47,180,180,180,47,180,"0,000%","2,98954","1,32","0,76"
http://20.50.171.10:9966/petclinic/api/owners/5 14 Pet clinic,2,274,48,501,501,501,48,501,"0,000%","2,02840","0,90","0,52"
http://20.50.171.10:9966/petclinic/api/pettypes 5 Pet clinic,1,169,169,169,169,169,169,169,"0,000%","5,91716","191,13","1,50"
http://20.50.171.10:9966/petclinic/api/pettypes 20 Pet clinic,1,131,131,131,131,131,131,131,"0,000%","7,63359","246,57","1,94"
http://20.50.171.10:9966/petclinic/api/owners 29 ${websiteName},1,2092,2092,2092,2092,2092,2092,2092,"0,000%",",47801","142,32","0,12"
http://20.50.171.10:9966/petclinic/api/owners/5 9 Pet clinic,2,502,57,947,947,947,57,947,"0,000%",",99552","0,44","0,25"
http://20.50.171.10:9966/petclinic/api/pets/1 5 Pet clinic,2,54,54,55,55,55,54,55,"100,000%","18,34862","4,57","7,00"
Owner page,50,609,311,1608,1901,2937,183,2937,"100,000%","7,46714","246,35","5,67"
http://20.50.171.10:9966/petclinic/api/pets/1 20 Pet clinic,2,53,51,55,55,55,51,55,"100,000%","18,69159","4,65","7,13"
http://20.50.171.10:9966/petclinic/api/owners/5 29 Pet clinic,2,50,47,53,53,53,47,53,"0,000%","4,13223","1,82","1,05"
http://20.50.171.10:9966/petclinic/api/owners 38 ${websiteName},1,2030,2030,2030,2030,2030,2030,2030,"0,000%",",49261","146,66","0,12"
Edit pet form,50,102,98,123,132,164,83,164,"100,000%","10,04218","6,93","7,68"
http://20.50.171.10:9966/petclinic/api/owners 23 ${websiteName},1,2371,2371,2371,2371,2371,2371,2371,"0,000%",",42176","125,57","0,11"
http://20.50.171.10:9966/petclinic/api/owners/5 38 Pet clinic,2,48,45,52,52,52,45,52,"0,000%","4,46429","1,97","1,13"
http://20.50.171.10:9966/petclinic/api/owners/5 23 Pet clinic,2,48,46,50,50,50,46,50,"0,000%","2,18579","0,96","0,55"
http://20.50.171.10:9966/petclinic/api/owners 22 ${websiteName},1,2488,2488,2488,2488,2488,2488,2488,"0,000%",",40193","119,67","0,10"
http://20.50.171.10:9966/petclinic/api/pettypes 14 Pet clinic,1,347,347,347,347,347,347,347,"0,000%","2,88184","93,09","0,73"
http://20.50.171.10:9966/petclinic/api/pettypes 17 Pet clinic,1,349,349,349,349,349,349,349,"0,000%","2,86533","92,55","0,73"
http://20.50.171.10:9966/petclinic/api/owners/5 22 Pet clinic,2,50,44,56,56,56,44,56,"0,000%","2,57400","1,14","0,65"
http://20.50.171.10:9966/petclinic/api/pettypes 2 Pet clinic,1,970,970,970,970,970,970,970,"0,000%","1,03093","33,30","0,26"
http://20.50.171.10:9966/petclinic/api/pets/1 14 Pet clinic,2,44,42,46,46,46,42,46,"100,000%","22,47191","5,60","8,57"
http://20.50.171.10:9966/petclinic/api/pets/1 17 Pet clinic,2,46,45,48,48,48,45,48,"100,000%","21,50538","5,36","8,20"
http://20.50.171.10:9966/petclinic/api/pets/1 2 Pet clinic,2,45,44,46,46,46,44,46,"100,000%","22,22222","5,53","8,47"
http://20.50.171.10:9966/petclinic/api/pettypes 29 Pet clinic,1,294,294,294,294,294,294,294,"0,000%","3,40136","109,87","0,86"
http://20.50.171.10:9966/petclinic/api/pettypes 16 Pet clinic,1,523,523,523,523,523,523,523,"0,000%","1,91205","61,76","0,49"
http://20.50.171.10:9966/petclinic/api/pets/1 29 Pet clinic,2,45,44,46,46,46,44,46,"100,000%","22,22222","5,53","8,47"
http://20.50.171.10:9966/petclinic/api/pets/1 16 Pet clinic,2,47,43,52,52,52,43,52,"100,000%","20,83333","5,19","7,94"
http://20.50.171.10:9966/petclinic/api/pettypes 38 Pet clinic,1,250,250,250,250,250,250,250,"0,000%","4,00000","129,20","1,02"
http://20.50.171.10:9966/petclinic/api/owners 13 ${websiteName},1,2863,2863,2863,2863,2863,2863,2863,"0,000%",",34928","103,99","0,09"
http://20.50.171.10:9966/petclinic/api/pets/1 38 Pet clinic,2,49,46,52,52,52,46,52,"100,000%","20,20202","5,03","7,70"
http://20.50.171.10:9966/petclinic/api/owners/5 13 Pet clinic,2,56,55,57,57,57,55,57,"0,000%","2,76625","1,22","0,70"
http://20.50.171.10:9966/petclinic/api/owners 44 ${websiteName},1,2302,2302,2302,2302,2302,2302,2302,"0,000%",",43440","129,34","0,11"
http://20.50.171.10:9966/petclinic/api/pettypes 11 Pet clinic,1,772,772,772,772,772,772,772,"0,000%","1,29534","41,84","0,33"
http://20.50.171.10:9966/petclinic/api/pets/1 11 Pet clinic,2,44,41,47,47,47,41,47,"100,000%","22,47191","5,60","8,57"
http://20.50.171.10:9966/petclinic/api/owners 28 ${websiteName},1,2804,2804,2804,2804,2804,2804,2804,"0,000%",",35663","106,18","0,09"
http://20.50.171.10:9966/petclinic/api/owners 21 ${websiteName},1,2954,2954,2954,2954,2954,2954,2954,"0,000%",",33852","100,79","0,09"
http://20.50.171.10:9966/petclinic/api/owners/5 28 Pet clinic,2,53,50,57,57,57,50,57,"0,000%","4,14938","1,83","1,05"
http://20.50.171.10:9966/petclinic/api/owners/5 21 Pet clinic,2,49,47,52,52,52,47,52,"0,000%","2,75103","1,21","0,70"
http://20.50.171.10:9966/petclinic/api/owners 50 ${websiteName},1,2432,2432,2432,2432,2432,2432,2432,"0,000%",",41118","122,42","0,10"
http://20.50.171.10:9966/petclinic/api/owners 47 ${websiteName},1,2500,2500,2500,2500,2500,2500,2500,"0,000%",",40000","119,09","0,10"
http://20.50.171.10:9966/petclinic/api/owners/5 50 Pet clinic,2,51,48,55,55,55,48,55,"0,000%","6,68896","2,95","1,70"
http://20.50.171.10:9966/petclinic/api/owners/5 47 Pet clinic,2,50,50,51,51,51,50,51,"0,000%","4,91400","2,17","1,25"
http://20.50.171.10:9966/petclinic/api/owners 35 ${websiteName},1,2792,2792,2792,2792,2792,2792,2792,"0,000%",",35817","106,64","0,09"
http://20.50.171.10:9966/petclinic/api/owners/5 35 Pet clinic,2,59,53,65,65,65,53,65,"0,000%","4,29185","1,89","1,09"
http://20.50.171.10:9966/petclinic/api/pettypes 22 Pet clinic,1,576,576,576,576,576,576,576,"0,000%","1,73611","56,08","0,44"
http://20.50.171.10:9966/petclinic/api/pettypes 50 Pet clinic,1,101,101,101,101,101,101,101,"0,000%","9,90099","319,81","2,51"
http://20.50.171.10:9966/petclinic/api/pettypes 9 Pet clinic,1,907,907,907,907,907,907,907,"0,000%","1,10254","35,61","0,28"
http://20.50.171.10:9966/petclinic/api/pets/1 22 Pet clinic,2,49,48,50,50,50,48,50,"100,000%","20,20202","5,03","7,70"
http://20.50.171.10:9966/petclinic/api/pettypes 23 Pet clinic,1,721,721,721,721,721,721,721,"0,000%","1,38696","44,80","0,35"
http://20.50.171.10:9966/petclinic/api/owners 26 ${websiteName},1,3081,3081,3081,3081,3081,3081,3081,"0,000%",",32457","96,63","0,08"
http://20.50.171.10:9966/petclinic/api/owners/5 44 Pet clinic,2,238,55,422,422,422,55,422,"0,000%","2,68456","1,18","0,68"
http://20.50.171.10:9966/petclinic/api/owners 41 ${websiteName},1,2795,2795,2795,2795,2795,2795,2795,"0,000%",",35778","106,52","0,09"
http://20.50.171.10:9966/petclinic/api/owners 32 ${websiteName},1,2982,2982,2982,2982,2982,2982,2982,"0,000%",",33535","99,84","0,08"
http://20.50.171.10:9966/petclinic/api/pets/1 50 Pet clinic,2,47,47,47,47,47,47,47,"100,000%","21,27660","5,30","8,11"
http://20.50.171.10:9966/petclinic/api/pets/1 9 Pet clinic,2,48,47,49,49,49,47,49,"100,000%","20,83333","5,19","7,94"
http://20.50.171.10:9966/petclinic/api/pets/1 23 Pet clinic,2,48,47,49,49,49,47,49,"100,000%","20,83333","5,19","7,94"
http://20.50.171.10:9966/petclinic/api/owners/5 26 Pet clinic,2,52,49,55,55,55,49,55,"0,000%","2,89017","1,28","0,73"
http://20.50.171.10:9966/petclinic/api/pettypes 28 Pet clinic,1,247,247,247,247,247,247,247,"0,000%","4,04858","130,77","1,03"
http://20.50.171.10:9966/petclinic/api/pettypes 13 Pet clinic,1,486,486,486,486,486,486,486,"0,000%","2,05761","66,46","0,52"
http://20.50.171.10:9966/petclinic/api/owners/5 41 Pet clinic,2,47,44,51,51,51,44,51,"0,000%","5,52486","2,44","1,40"
http://20.50.171.10:9966/petclinic/api/owners/5 32 Pet clinic,2,47,44,51,51,51,44,51,"0,000%","5,64972","2,49","1,43"
http://20.50.171.10:9966/petclinic/api/pettypes 47 Pet clinic,1,186,186,186,186,186,186,186,"0,000%","5,37634","173,66","1,37"
http://20.50.171.10:9966/petclinic/api/pets/1 28 Pet clinic,2,63,61,66,66,66,61,66,"100,000%","15,74803","3,92","6,01"
http://20.50.171.10:9966/petclinic/api/pets/1 13 Pet clinic,2,62,58,66,66,66,58,66,"100,000%","16,12903","4,02","6,15"
http://20.50.171.10:9966/petclinic/api/pets/1 47 Pet clinic,2,59,55,63,63,63,55,63,"100,000%","16,80672","4,19","6,41"
http://20.50.171.10:9966/petclinic/api/pettypes 44 Pet clinic,1,172,172,172,172,172,172,172,"0,000%","5,81395","187,80","1,48"
http://20.50.171.10:9966/petclinic/api/pettypes 35 Pet clinic,1,248,248,248,248,248,248,248,"0,000%","4,03226","130,25","1,02"
http://20.50.171.10:9966/petclinic/api/pettypes 1 Pet clinic,1,1717,1717,1717,1717,1717,1717,1717,"0,000%",",58241","18,81","0,15"
http://20.50.171.10:9966/petclinic/api/pets/1 44 Pet clinic,2,47,47,48,48,48,47,48,"100,000%","21,05263","5,24","8,03"
http://20.50.171.10:9966/petclinic/api/pettypes 41 Pet clinic,1,168,168,168,168,168,168,168,"0,000%","5,95238","192,27","1,51"
http://20.50.171.10:9966/petclinic/api/pettypes 32 Pet clinic,1,161,161,161,161,161,161,161,"0,000%","6,21118","200,63","1,58"
http://20.50.171.10:9966/petclinic/api/pets/1 35 Pet clinic,2,49,48,50,50,50,48,50,"100,000%","20,61856","5,13","7,86"
http://20.50.171.10:9966/petclinic/api/pets/1 1 Pet clinic,2,49,48,50,50,50,48,50,"100,000%","20,61856","5,13","7,86"
http://20.50.171.10:9966/petclinic/api/pets/1 41 Pet clinic,2,48,43,54,54,54,43,54,"100,000%","20,61856","5,13","7,86"
http://20.50.171.10:9966/petclinic/api/pets/1 32 Pet clinic,2,48,45,52,52,52,45,52,"100,000%","20,83333","5,19","7,94"
http://20.50.171.10:9966/petclinic/api/pettypes 21 Pet clinic,1,533,533,533,533,533,533,533,"0,000%","1,87617","60,60","0,48"
http://20.50.171.10:9966/petclinic/api/owners 3 ${websiteName},1,3918,3918,3918,3918,3918,3918,3918,"0,000%",",25523","75,99","0,06"
http://20.50.171.10:9966/petclinic/api/pets/1 21 Pet clinic,2,46,44,48,48,48,44,48,"100,000%","21,73913","5,41","8,29"
http://20.50.171.10:9966/petclinic/api/owners/5 3 Pet clinic,2,47,46,48,48,48,46,48,"0,000%","6,23053","2,75","1,58"
http://20.50.171.10:9966/petclinic/api/owners 6 ${websiteName},1,3930,3930,3930,3930,3930,3930,3930,"0,000%",",25445","75,76","0,06"
http://20.50.171.10:9966/petclinic/api/owners/5 6 Pet clinic,2,44,42,46,46,46,42,46,"0,000%","5,07614","2,24","1,29"
http://20.50.171.10:9966/petclinic/api/pettypes 26 Pet clinic,1,500,500,500,500,500,500,500,"0,000%","2,00000","64,60","0,51"
http://20.50.171.10:9966/petclinic/api/pettypes 3 Pet clinic,1,131,131,131,131,131,131,131,"0,000%","7,63359","246,57","1,94"
http://20.50.171.10:9966/petclinic/api/pettypes 8 Pet clinic,1,2813,2813,2813,2813,2813,2813,2813,"0,000%",",35549","11,48","0,09"
http://20.50.171.10:9966/petclinic/api/pets/1 26 Pet clinic,2,43,42,45,45,45,42,45,"100,000%","22,72727","5,66","8,67"
http://20.50.171.10:9966/petclinic/api/owners 4 ${websiteName},1,4121,4121,4121,4121,4121,4121,4121,"0,000%",",24266","72,25","0,06"
http://20.50.171.10:9966/petclinic/api/owners 10 ${websiteName},1,4002,4002,4002,4002,4002,4002,4002,"0,000%",",24988","74,40","0,06"
http://20.50.171.10:9966/petclinic/api/pets/1 3 Pet clinic,2,47,47,48,48,48,47,48,"100,000%","20,83333","5,19","7,94"
http://20.50.171.10:9966/petclinic/api/pets/1 8 Pet clinic,2,47,47,48,48,48,47,48,"100,000%","21,05263","5,24","8,03"
http://20.50.171.10:9966/petclinic/api/owners/5 10 Pet clinic,2,46,42,50,50,50,42,50,"0,000%","5,37634","2,37","1,37"
http://20.50.171.10:9966/petclinic/api/owners/5 4 Pet clinic,2,50,49,51,51,51,49,51,"0,000%","3,30033","1,46","0,84"
http://20.50.171.10:9966/petclinic/api/owners 49 ${websiteName},1,3303,3303,3303,3303,3303,3303,3303,"0,000%",",30276","90,14","0,08"
http://20.50.171.10:9966/petclinic/api/owners 45 ${websiteName},1,3405,3405,3405,3405,3405,3405,3405,"0,000%",",29369","87,44","0,07"
